QuarterBass Drumeat Count,Offset (Quarter LenSnare Drumth),Instrument1,Instrument2,Instrument1 Duration,Instrument2 Duration,Beat Subdivision
619,154.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
620,154.75,,,,,
621,155,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
622,155.25,,,,,
623,155.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
624,155.75,,,,,
625,156,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
626,156.25,,,,,
627,156.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
628,156.75,,,,,
629,157,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
630,157.25,,,,,
631,157.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
632,157.75,,,,,
633,158,Snare Drum,,[0.5],,1st Quarter
634,158.25,,,,,
